instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.77078534,-94.84809929,,,,,﻿Rt. Rev.,﻿J.J. Hogan,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.77078534,-94.84809929,,,,﻿j_doherty_001,﻿Rev.,﻿James Doherty,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0036,﻿cathedral,﻿St. Joseph's,English,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.77078534,-94.84809929,,,,,﻿Rev.,﻿Eugene Kenny,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0037,﻿church,﻿Immaculate Conception,﻿German,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿St. Joseph,﻿MO,,39.7624944,-94.8474655,,,,,﻿Rev.,﻿George Hartman,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0014,﻿church,not recorded,﻿German,﻿church not dedicated,,,﻿Buchanan County,﻿Buchanan County,﻿Easton,﻿Easton,﻿MO,,39.7189357,-94.7004839,,,,,﻿Rev.,﻿A. J. Abel,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0030,﻿church,not recorded,﻿German,﻿church not dedicated,,,﻿Clinton County,﻿Clinton County,﻿Plattsburg,﻿Plattsburg,﻿MO,,39.5655549,-94.4480059,﻿stj.mo.0014,﻿attended from Easton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0012,﻿church,﻿St. Columba's,English,,﻿(Guilford P.O.),,﻿Nodaway County,﻿Nodaway County,﻿Conception,﻿Conception,﻿MO,,40.2907281,-94.8105955,,,,,﻿Rev.,﻿James Power,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0025,﻿church,not recorded,English,﻿church not dedicated,,,﻿Nodaway County,﻿Nodaway County,﻿Maryville,﻿Maryville,﻿MO,,40.3461017,-94.8724706,﻿stj.mo.0012,﻿attended from Conception,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0024,﻿church,not recorded,English,,,,﻿Clay County,﻿Clay County,﻿Liberty,﻿Liberty,﻿MO,,39.2407627,-94.45489,,,,,﻿Rev.,﻿Thomas Ledwith,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0011,﻿church,﻿St. Munchin's,English,,,,﻿Clinton County,﻿Clinton County,﻿Cameron,﻿Cameron,﻿MO,,39.7402801,-94.241057,﻿stj.mo.0024,﻿attended from Liberty,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0008,﻿church,not recorded,English,,,,﻿Carroll County,﻿Carroll County,﻿Carrollton,﻿Carrollton,﻿MO,,39.3558389,-93.4931846,,,,,﻿Rev.,﻿Richard Nagle,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0007,﻿church,not recorded,English,,,,﻿Chariton County,﻿Chariton County,﻿Brunswick,﻿Brunswick,﻿MO,,39.4233576,-93.1304782,﻿stj.mo.0008,﻿attended from Carrollton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0051,﻿church,not recorded,﻿German,,,,﻿Platte County,﻿Platte County,﻿Weston,﻿Weston,﻿MO,,39.4103501,-94.8992798,,,,﻿cha_linnenkamp_001,﻿Rev.,﻿C. Linnenkamp,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0010,﻿church,﻿St. Columbans',English,,,,﻿Livingston County,﻿Livingston County,﻿Chillicothe,﻿Chillicothe,﻿MO,,39.7986965,-93.5490194,,,,﻿rs_tucker_001,﻿Rev.,﻿Robert S. Tucker,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0002,﻿church,not recorded,English,,,,﻿Linn County,﻿Linn County,﻿Brookfield,﻿Brookfield,﻿MO,,39.7844687,-93.0735348,﻿stj.mo.0010,﻿attended from Chillicothe,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0003,﻿church,﻿St. Bridget's,English,,,,﻿Linn County,﻿Linn County,﻿Bucklin,﻿Bucklin,﻿MO,,39.7816934,-92.8901965,,,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0033,﻿church,not recorded,English,,,,﻿Ray County,﻿Ray County,﻿Richmond,﻿Richmond,﻿MO,,39.278622,-93.9768876,﻿stj.mo.0008,﻿attended from Carrollton,,,,,,,,,,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0048,﻿convent,﻿Convent and Academy of the Sacred Heart,English,,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿MO,,39.3475649,-94.7691586,,,,,﻿Madame,﻿Wall,,﻿Superior,,﻿student,"﻿pupils, 180",,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0048,﻿convent,﻿Convent and Academy of the Sacred Heart,English,,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿MO,,39.3475649,-94.7691586,,,,,,,,,,﻿community,﻿community; 23,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0050,﻿college,﻿College of the Christian Brothers,English,,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿MO,,39.3475649,-94.7691586,,,,,﻿Brother,﻿Noah,,﻿Director,,﻿student,"﻿Pupils, 200",,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0050,﻿college,﻿College of the Christian Brothers,English,,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿MO,,39.3475649,-94.7691586,,,,,,,,,,﻿religious,﻿12 brothers,,,1869,﻿,﻿,﻿St. Joseph,StJoseph
﻿stj.mo.0052,﻿college,﻿Branch of St. Joseph's College,English,,,,,﻿Buchanan County,﻿Buchanan County,﻿St. Joseph,﻿MO,,39.3475649,-94.7691586,,,,,﻿Brother,﻿Aurelian,,﻿Director,,﻿student,"﻿Pupils, 150",,,1869,﻿,﻿,﻿St. Joseph,StJoseph
