instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,NOTES,courses,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.77642653,-79.93453937,,,,﻿joh_england_901,﻿Right Rev.,﻿John England,﻿D. D.,,,,,,,1836,,﻿https://en.wikipedia.org/wiki/Cathedral_of_Saint_John_and_Saint_Finbar ; https://charlestoncathedral.com/history/,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,﻿w_clancey_901,﻿Rt. Rev.,﻿Wm. Clancey,﻿D. D.,﻿Coadj.,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0001,﻿cathedral,﻿Cathedral of St. Finbar,English,,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.77642653,-79.93453937,,,,﻿a_byrne_901,﻿Rev.,﻿Andrew Byrne,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0002,﻿church,﻿St. Mary's,English,﻿District of,,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.78189079,-79.93286629,,,,,,,,,,,,,,1836,,﻿https://www.sma.church/our-history.html,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,﻿[check page 79 in almanac for lingering info about roles and people?],,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,﻿SC,32.7882253,-79.9403921,,,,﻿rob_brown_901,﻿Rev.,﻿Robert Browne,,,,,,,,1836,,﻿https://www.stpatrickcharleston.org/history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0003,﻿church,﻿St. Patrick's,English,﻿[check page 79 in almanac for lingering info about roles and people?],,,,﻿Charleston County,﻿Charleston,﻿Charleston,﻿SC,,32.7882253,-79.9403921,,,,﻿tho_murphy_901,﻿Rev.,﻿Thomas Murphy,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9004,﻿church,not recorded,English,,,,,,﻿Aiken,,﻿SC,,32.7882253,-79.9403921,,,,,,,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0023,﻿church,not recorded,English,,,,,,﻿Beaufort,,﻿SC,,32.439429,-80.670543,,,,,,,,,,,,,,1836,,"﻿this church history mentions the pre-church history, making me think it is likely the same place: https://www.stpetersbeaufort.org/parish-history",,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0015,﻿church,﻿St. Andrew's,English,,,,,,﻿Barnwell,﻿Barnwell,﻿SC,,33.2448733,-81.3587177,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1836,,﻿St. Andrew's | https://en.wikipedia.org/wiki/Saint_Andrew%27s_Catholic_Church,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9003,﻿church,﻿St. James',English,,,,﻿Colleton District,﻿Colleton County,,,﻿SC,﻿SC,33.2448733,-81.3587177,﻿cha.sc.0001,﻿visited occasionally from Charleston,,,,,,,,,,,,1836,,﻿https://schpr.sc.gov/index.php/Detail/properties/26792,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9011,﻿station,not recorded,English,﻿other stations in the Eastern part of the State,,,,,,,﻿SC,,33.2448733,-81.3587177,,﻿attended in turn by Rev. John Maginnis,,﻿joh_mginnis_901,﻿Rev.,﻿John Maginnis,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,﻿SC,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,,﻿Rev.,﻿John Bermingham,,,"﻿voluntarily assists in Columbia, and supplies the place of the pastor, when absent",,,,,1836,,﻿https://www.visitstpeters.org/our-history,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.0025,﻿church,﻿St. Peter's,English,,,,,﻿Richland County,﻿Columbia,﻿Columbia,﻿SC,,34.00550865,-81.03810855,,,,﻿jam_wallace_901,﻿Rev.,﻿James Wallace,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
﻿cha.sc.9005,﻿church,not recorded,English,,,,,,﻿Chester,,﻿SC,,34.00550865,-81.03810855,,﻿visited by Rev. John Bermingham,,﻿joh_bermingham_901,﻿Rev.,﻿John Bermingham,,,,,,,,1836,,,,﻿,﻿,﻿Charleston,Charleston
